X,Y,countX,countY,meanX,varianceX,meanY,varianceY
3,3,3,3,5085096.333333333,4.301045620738423E13,239606.0,5.527036686666666E8
3,5,3,5,230872.33333333334,2.0418582462222223E9,197529.0,2.655054748E8
3,10,3,10,230238.33333333334,3.909984088888889E7,242818.6,2.9351057736400003E9
3,15,3,15,196900.66666666666,1.4040580822222224E8,208829.86666666667,5.706684331822222E8
3,20,3,20,196000.33333333334,1.2333299088888888E8,492848.5,1.9109325586125E11
3,30,3,30,205282.33333333334,7699558.222222221,442185.76666666666,1.3092489336757889E11
3,40,3,40,215162.66666666666,4.8962526822222215E8,344475.65,1.3326350626882744E11
3,50,3,50,212208.66666666666,9.01172184888889E8,332487.44,2.0642469557724655E11
3,60,3,60,317780.0,1.1123880444666666E10,306148.06666666665,6.809933978902889E10
5,3,5,3,197403.8,4.9694107775999993E8,229874.66666666666,8.720469581555555E9
5,5,5,5,166727.2,1.7799283336E8,175477.2,6.8715543976E8
5,10,5,10,202758.0,6.900793508E8,432897.4,1.7792409593104E11
5,15,5,15,258907.4,1.3751194522400002E9,238458.13333333333,3.3821075555822225E9
5,20,5,20,203047.8,1.7721849856E8,182291.0,1.1395487735E9
5,30,5,30,213877.6,5.2851493064E8,403267.23333333334,3.070681448329121E11
5,40,5,40,220711.0,4.9506319E8,329222.55,1.538223752353475E11
5,50,5,50,216808.4,2.2019711623999995E8,288640.16,4.097684948729441E10
5,60,5,60,204749.8,3.39951794176E9,361401.2833333333,1.0130634961593642E11
10,3,10,3,317624.2,6.665852805036002E10,212969.33333333334,4.503639569555555E9
10,5,10,5,144645.6,9.764334664000002E7,156592.8,3.6562783496000004E8
10,10,10,10,712476.4,9.317265510678401E11,312682.6,2.006283044304E10
10,15,10,15,159698.0,8.21874918E8,155293.53333333333,2.9630672144888884E8
10,20,10,20,539748.5,9.7230697648085E11,340563.75,2.103343443912875E11
10,30,10,30,152575.8,3.0637107156000006E8,437075.86666666664,3.3667043875764886E11
10,40,10,40,158849.7,2.0141815181E8,308968.45,1.4174309670454752E11
10,50,10,50,174039.6,5.4586269004E8,287175.64,5.334657909387039E10
10,60,10,60,147530.6,3.3425501384000003E8,279515.5833333333,6.075977867164309E10
15,3,15,3,465297.5333333333,2.6773349086184894E11,457283.3333333333,1.7149194254888887E10
15,5,15,5,204681.73333333334,4.305426903128889E9,179287.2,3.3045085736E8
15,10,15,10,183460.33333333334,1.6980772311555557E9,280070.7,2.8488325500099998E9
15,15,15,15,263053.8,2.18325196736E9,240124.86666666667,3.0616297115582222E10
15,20,15,20,143782.6,9.800180383999999E7,315501.2,5.234015499686E10
15,30,15,30,402656.0,9.729870471E10,341954.3,2.317845199490767E11
15,40,15,40,241056.2,1.1498040875360004E10,349353.45,1.1360471940759753E11
15,50,15,50,167994.33333333334,8.060380858222221E8,299914.14,1.7723798084420044E11
15,60,15,60,174163.66666666666,9.854794030222222E8,331804.8,1.425674315544934E11
20,3,20,3,321999.05,6.0746433039847496E10,147319.66666666666,7.191459822222222E7
20,5,20,5,188265.55,2.6738764858475003E9,820961.4,8.3283642603304E11
20,10,20,10,316952.95,1.358952966476475E11,179142.7,3.5779822346099997E9
20,15,20,15,347527.25,2.313508766659875E11,371703.4666666667,1.1955444185715555E10
20,20,20,20,210500.05,8.488889348847496E9,631219.0,7.22579888272E11
20,30,20,30,173268.8,5.1226690956000006E8,463568.36666666664,4.449201592973656E11
20,40,20,40,519985.95,3.973925401127475E11,273300.075,3.7790383489306934E11
20,50,20,50,287365.65,1.0923789561927502E10,285284.08,4.708789338635359E10
20,60,20,60,163644.5,8.2119583645E8,284818.7,1.1595945512297672E11
30,3,30,3,393350.63333333336,2.376723453850322E11,236193.33333333334,5.176059272222222E9
30,5,30,5,462359.5,1.2298289506883833E12,161356.2,3.1167467360000003E7
30,10,30,10,391404.9,1.6734937257455664E11,160788.3,2.5061480960999998E8
30,15,30,15,369142.2,2.3903039514289337E11,225590.13333333333,1.0058378819715557E10
30,20,30,20,388153.5333333333,3.5609337879484894E11,180143.25,3.5478614022875E9
30,30,30,30,372071.43333333335,2.4898119005411212E11,177070.13333333333,2.510798220115556E9
30,40,30,40,355916.3333333333,9.990478516535562E10,324399.775,2.2868723071942438E11
30,50,30,50,239112.53333333333,3.548737275578222E10,313790.88,6.7014184859505585E10
30,60,30,60,370245.5,4.6599887947316666E10,276635.06666666665,1.1787603757179552E11
40,3,40,3,335641.725,1.6180475167529932E11,179811.33333333334,6.994653955555557E7
40,5,40,5,348422.0,2.179417126543E11,275638.8,2.9291040599359997E10
40,10,40,10,334992.175,1.5897982941014435E11,157297.5,6.9124339565E8
40,15,40,15,335491.125,1.6605431768870938E11,158762.6,9.132521650399998E8
40,20,40,20,330462.275,1.693821859631994E11,173470.75,9.930789975875E8
40,30,40,30,334762.475,1.0200261971439934E11,291668.2,1.4648118619809332E11
40,40,40,40,377324.075,2.150911914632194E11,192687.225,4.368312607524375E9
40,50,40,50,338643.675,5.824326860376939E10,295026.16,1.2737963301905438E11
40,60,40,60,328399.4,1.4084283481478998E11,306492.75,1.0383874586272084E11
50,3,50,3,539511.62,3.7771177373903564E11,232954.0,2.596083224E9
50,5,50,5,306505.84,1.696493929111744E11,235471.8,8.856103069599998E8
50,10,50,10,274729.98,7.326915601449957E10,182151.5,1.08240899865E9
50,15,50,15,315095.22,8.32820384383316E10,176364.2,1.3484478453600001E9
50,20,50,20,414063.88,2.5927106071902563E11,288197.75,1.68457934800875E10
50,30,50,30,316288.68,1.6820457429817758E11,301005.06666666665,1.6999555108012888E11
50,40,50,40,354560.12,1.6451187850334558E11,353631.725,1.5890752422779938E11
50,50,50,50,231247.82,3.1230724787587597E10,1599945.46,4.122082141515928E12
50,60,50,60,508082.7,1.11417743658869E12,306622.5,8.035039382651666E10
60,3,60,3,354497.1,2.0450222292289005E11,318405.6666666667,1.2040681659555555E10
60,5,60,5,286616.7833333333,1.389605940784364E11,182084.4,6.9160482504E8
60,10,60,10,290520.63333333336,1.0515849594253223E11,732278.4,9.699606577506403E11
60,15,60,15,269284.7,1.4737130868690994E11,267238.5333333333,1.065719406878222E10
60,20,60,20,278731.36666666664,8.566218441423222E10,370496.5,2.2819363792795E11
60,30,60,30,281596.6,2.6441629078573322E10,259292.03333333333,8.470315348432223E9
60,40,60,40,317444.95,8.580928393771419E10,266479.025,5.732028649522438E10
60,50,60,50,269514.0,1.4494323283626666E11,299257.78,1.291123220377316E11
60,60,60,60,401296.6666666667,2.802554638409891E11,295386.23333333334,1.2751872570917891E11
